"evt","perceived_at","game_id","season","day","player_id","player_name"
"Glabe Moon is Poured Over with a second crack roast blending mint and blood! Glabe Moon gets a Free Refill!","2020-11-24 22:02:27.62498","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"04931546-1b4a-469f-b391-7ed67afe824c","Glabe Moon"
"Halexandrey Walton is Poured Over with a light city roast blending marinara and charcoal! Halexandrey Walton gets a Free Refill!","2020-11-24 22:05:22.719127","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"03b80a57-77ea-4913-9be4-7a85c3594745","Halexandrey Walton"
"Zeboriah Wilson is Poured Over with a dark roast blending charcoal and cherry! Zeboriah Wilson gets a Free Refill!","2020-11-24 22:06:02.765439","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"3e008f60-6842-42e7-b125-b88c7e5c1a95","Zeboriah Wilson"
"Peanut Bong is Poured Over with a continental roast blending marinara and hazelnut! Peanut Bong gets a Free Refill!","2020-11-24 22:07:07.672583","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"9820f2c5-f9da-4a07-b610-c2dd7bee2ef6","Peanut Bong"
"Ren Morin is Poured Over with a second crack roast blending darkest chocolate and pistachio! Ren Morin gets a Free Refill!","2020-11-24 22:07:38.60806","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"32c9bce6-6e52-40fa-9f64-3629b3d026a8","Ren Morin"
"Sebastian Woodman is Poured Over with a light roast blending cherry and darker chocolate! Sebastian Woodman gets a Free Refill!","2020-11-24 22:08:37.612168","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"15d3a844-df6b-4193-a8f5-9ab129312d8d","Sebastian Woodman"
"Kline Greenlemon is Poured Over with a french roast blending bourbon barbecue and pungent lemon pepper! Kline Greenlemon gets a Free Refill!","2020-11-24 22:09:14.611947","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"97f5a9cd-72f0-413e-9e68-a6ee6a663489","Kline Greenlemon"
"Holden Stanton is Poured Over with a light city roast blending fiery jerk paste and chai! Holden Stanton gets a Free Refill!","2020-11-24 22:09:38.971278","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"817dee99-9ccf-4f41-84e3-dc9773237bc8","Holden Stanton"
"Peanut Holloway is Poured Over with a light roast blending blood and blood! Peanut Holloway gets a Free Refill!","2020-11-24 22:11:35.616562","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"667cb445-c288-4e62-b603-27291c1e475d","Peanut Holloway"
"Knight Triumphant is Poured Over with a french roast blending creamy vanilla and garlic! Knight Triumphant gets a Free Refill!","2020-11-24 22:11:55.606281","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"cbd19e6f-3d08-4734-b23f-585330028665","Knight Triumphant"
"Commissioner Vapor is Poured Over with a light city roast blending blood and mint! Commissioner Vapor gets a Free Refill!","2020-11-24 22:12:30.608912","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"a7d8196a-ca6b-4dab-a9d7-c27f3e86cc21","Commissioner Vapor"
"Yusef Fenestrate is Poured Over with a french roast blending creamy vanilla and walnut! Yusef Fenestrate gets a Free Refill!","2020-11-24 22:13:45.61702","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"da67c196-4cac-428b-8c18-2a411055ea35","Yusef Fenestrate"
"Hendricks Richardson is Poured Over with a light roast blending grass-fed butter and fresh parmesan! Hendricks Richardson gets a Free Refill!","2020-11-24 22:17:38.605376","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson"
"Oliver Notarobot is Poured Over with a espresso roast blending lavender and grass-fed butter! Oliver Notarobot gets a Free Refill!","2020-11-24 22:18:16.603554","6514aa5c-7d91-438f-87b7-506bf3760faa",-1,5,"542af915-79c5-431c-a271-f7185e37c6ae","Oliver Notarobot"
"Logan Horseman is Poured Over with a second crack roast blending blood and hazelnut! Logan Horseman gets a Free Refill!","2020-11-24 22:21:45.615643","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"c22e3af5-9001-465f-b450-864d7db2b4a0","Logan Horseman"
"Beasley Day is Poured Over with a cinnamon roast blending oak and pistachio! Beasley Day gets a Free Refill!","2020-11-24 22:22:05.614547","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"26cfccf2-850e-43eb-b085-ff73ad0749b8","Beasley Day"
"Fish Summer is Poured Over with a single origin roast blending fish sauce and charcoal! Fish Summer gets a Free Refill!","2020-11-24 22:23:08.409929","f62823ca-cd3b-425f-a0c0-f5c721a74ee4",-1,5,"d89da2d2-674c-4b85-8959-a4bd406f760a","Fish Summer"
"Valentine Games is Poured Over with a half city roast blending butterscotch toffee and pecan! Valentine Games gets a Free Refill!","2020-11-24 23:00:01.6141","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"c675fcdf-6117-49a6-ac32-99a89a3a88aa","Valentine Games"
"Theodore Duende is Poured Over with a french roast blending lavender and blood! Theodore Duende gets a Free Refill!","2020-11-24 23:01:01.609687","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"f3ddfd87-73a2-4681-96fe-829476c97886","Theodore Duende"
"Jessica Telephone is Poured Over with a double roast blending charcoal and dirt! Jessica Telephone gets a Free Refill!","2020-11-24 23:01:11.616064","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"083d09d4-7ed3-4100-b021-8fbe30dd43e8","Jessica Telephone"
"Malik Destiny is Poured Over with a second crack roast blending umami and oak! Malik Destiny gets a Free Refill!","2020-11-24 23:01:31.620548","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Mummy Melcon is Poured Over with a continental roast blending lavender and pungent lemon pepper! Mummy Melcon gets a Free Refill!","2020-11-24 23:02:50.604203","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"1db2f602-64b1-4a5c-8697-1932cc2c6df1","Mummy Melcon"
"Kathy Mathews is Poured Over with a double roast blending fiery jerk paste and undernuts! Kathy Mathews gets a Free Refill!","2020-11-24 23:03:06.611563","58016f24-b171-47e5-aa66-35cf2e78ec45",-1,6,"9c3273a0-2711-4958-b716-bfcf60857013","Kathy Mathews"
"Sandie Turner is Poured Over with a espresso roast blending blood and darkest chocolate! Sandie Turner gets a Free Refill!","2020-11-24 23:03:47.615785","58016f24-b171-47e5-aa66-35cf2e78ec45",-1,6,"766dfd1e-11c3-42b6-a167-9b2d568b5dc0","Sandie Turner"
"Major Arcana is Poured Over with a dark roast blending pungent lemon pepper and umami! Major Arcana gets a Free Refill!","2020-11-24 23:04:46.602906","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"b0045559-81cf-42e0-87d4-3bbbd3ce0bce","Major Arcana"
"Beans Reblase is Poured Over with a full city roast blending charcoal and blood! Beans Reblase gets a Free Refill!","2020-11-24 23:05:46.615003","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"bbdeb3e2-cd5a-46ff-9a69-fd06b1482710","Beans Reblase"
"Jacob Haynes is Poured Over with a dark roast blending cherry and orange soda! Jacob Haynes gets a Free Refill!","2020-11-24 23:06:31.628171","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"Nagomi Nava is Poured Over with a second crack roast blending aromatics and darkest chocolate! Nagomi Nava gets a Free Refill!","2020-11-24 23:06:58.620422","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"89f74891-2e25-4b5a-bd99-c95ba3f36aa0","Nagomi Nava"
"Wyatt Glover is Poured Over with a second crack roast blending bourbon barbecue and orange soda! Wyatt Glover gets a Free Refill!","2020-11-24 23:07:22.620651","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"e16c3f28-eecd-4571-be1a-606bbac36b2b","Wyatt Glover"
"Lotus Mango is Poured Over with a french roast blending fresh parmesan and mint! Lotus Mango gets a Free Refill!","2020-11-24 23:07:42.611497","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"9f218ed1-d793-437d-a1b9-79f88f69154d","Lotus Mango"
"Peanutiel Duffy is Poured Over with a single origin roast blending marinara and darkest chocolate! Peanutiel Duffy gets a Free Refill!","2020-11-24 23:09:34.615192","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"5ff66eae-7111-4e3b-a9b8-a9579165b0a5","Peanutiel Duffy"
"Margarito Nava is Poured Over with a blonde roast blending butterscotch toffee and fiery jerk paste! Margarito Nava gets a Free Refill!","2020-11-24 23:09:38.60855","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Stijn Strongbody is Poured Over with a single origin roast blending oak and cherry! Stijn Strongbody gets a Free Refill!","2020-11-24 23:10:14.603659","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"e2f39815-5291-4dcf-ba19-97dcf0c015e9","Stijn Strongbody"
"Turing Capybara is Poured Over with a single origin roast blending chai and pistachio! Turing Capybara gets a Free Refill!","2020-11-24 23:11:50.610322","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"aadbe486-6bf2-42bd-8418-dbd1aa36edd9","Turing Capybara"
"Cannonball Sports is Poured Over with a french roast blending creamy vanilla and orange soda! Cannonball Sports gets a Free Refill!","2020-11-24 23:11:59.607385","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"c0998a08-de15-4187-b903-2e096ffa08e5","Cannonball Sports"
"Batista Oatmilk is Poured Over with a continental roast blending blood and pecan! Batista Oatmilk gets a Free Refill!","2020-11-24 23:13:25.607567","26a1f31e-ce73-44aa-b232-6e099d2d7972",-1,6,"e181ad4a-dd09-4873-ae68-b50518d20722","Batista Oatmilk"
"Sexton Wheerer is Poured Over with a espresso roast blending grass-fed butter and lavender! Sexton Wheerer gets a Free Refill!","2020-11-24 23:13:57.603955","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"0bb35615-63f2-4492-80ec-b6b322dc5450","Sexton Wheerer"
"Nic Winkler is Poured Over with a second crack roast blending big-bodied milk chocolate and flowers! Nic Winkler gets a Free Refill!","2020-11-24 23:15:08.607286","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"855775c1-266f-40f6-b07b-3a67ccdf8551","Nic Winkler"
"Simon Haley is Poured Over with a espresso roast blending marinara and umami! Simon Haley gets a Free Refill!","2020-11-24 23:15:58.606029","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"020ed630-8bae-4441-95cc-0e4ecc27253b","Simon Haley"
"Stevenson Heat is Poured Over with a light city roast blending big-bodied milk chocolate and darker chocolate! Stevenson Heat gets a Free Refill!","2020-11-24 23:19:48.604433","6094461a-c160-40c0-b9e6-c7b76af8fdbc",-1,6,"7b55d484-6ea9-4670-8145-986cb9e32412","Stevenson Heat"
"Comfort Septemberish is Poured Over with a continental roast blending dirt and hazelnut! Comfort Septemberish gets a Free Refill!","2020-11-24 23:21:09.607218","f06e067f-6f16-4ce1-966c-3bdc7286ac80",-1,6,"d8ee256f-e3d0-46cb-8c77-b1f88d8c9df9","Comfort Septemberish"
