"evt","perceived_at","game_id","season","day","player_id","player_name"
"The Saucer Descends! GM is caught in the Tractor Bean! GM is Percolated!","2020-11-17 22:05:42.996455","9e3111de-67ae-451e-864f-2f9ee8efb5c4",-1,0,"9c14cb0c-79ab-4b94-9ae3-c8de1c587e55","GM"
"The Saucer Descends! Blaseball Surgeon is caught in the Tractor Bean! Blaseball Surgeon is Percolated!","2020-11-17 23:01:41.611883","8260674b-959e-478a-b0f4-ed549fb41e59",-1,1,"afdbd837-7fc8-4c97-ac31-636950c2b3e4","Blaseball Surgeon"
"The Saucer Descends! Ball Clark is caught in the Tractor Bean! Ball Clark is Percolated!","2020-11-17 23:15:35.60759","8260674b-959e-478a-b0f4-ed549fb41e59",-1,1,"1a53768b-1ec1-4646-8417-dd58b9849bd7","Ball Clark"
"The Saucer Descends! Cedrissimo Sugar is caught in the Tractor Bean! Cedrissimo Sugar is Percolated!","2020-11-17 23:20:21.613316","8260674b-959e-478a-b0f4-ed549fb41e59",-1,1,"a13f67d5-22eb-4ee9-8b67-893b21acd87b","Cedrissimo Sugar"
"The Saucer Descends! Eli Winner is caught in the Tractor Bean! Eli Winner is Percolated!","2020-11-17 23:24:35.114258","8260674b-959e-478a-b0f4-ed549fb41e59",-1,1,"00ca40af-a8df-4519-af9a-beaf93ffc122","Eli Winner"
"The Saucer Descends! Changeup Liu is caught in the Tractor Bean! Changeup Liu is Percolated!","2020-11-17 23:36:19.609584","8260674b-959e-478a-b0f4-ed549fb41e59",-1,1,"82d5e79d-e125-4460-b1fa-d046ad7739e0","Changeup Liu"
"The Saucer Descends! Slam Rosenthal is caught in the Tractor Bean! Slam Rosenthal is Percolated!","2020-11-18 00:03:49.609683","d869166e-ad9e-480c-804c-ef0dc7e75727",-1,2,"37bdafdf-f213-4718-8200-c123fca39ff5","Slam Rosenthal"
"The Saucer Descends! Oops All Keepers is caught in the Tractor Bean! Oops All Keepers is Percolated! Oops All Keepers is fired into outer space!","2020-11-18 00:06:10.61206","d869166e-ad9e-480c-804c-ef0dc7e75727",-1,2,"555b0a07-a3e0-41bc-b3db-ca8f520857bc","Oops All Keepers"
"The Saucer Descends! The Murph is caught in the Tractor Bean! The Murph is Percolated!","2020-11-18 00:09:15.612166","d869166e-ad9e-480c-804c-ef0dc7e75727",-1,2,"12f3a18d-cc63-480d-b2ad-f0d89c1c4562","The Murph"
"The Saucer Descends! Nlikki Hart is caught in the Tractor Bean! Nlikki Hart is Percolated!","2020-11-18 00:17:57.603169","d869166e-ad9e-480c-804c-ef0dc7e75727",-1,2,"cacee0b8-50fc-4df4-96ea-089a3d501810","Nlikki Hart"
"The Saucer Descends! Bugcatcher Roldan is caught in the Tractor Bean! Bugcatcher Roldan is Percolated!","2020-11-18 02:06:31.606468","48c2a517-4630-481a-b683-4bf9a4a9a6e3",-1,4,"9e39f808-ff70-4232-8a8c-28085227155f","Bugcatcher Roldan"
"The Saucer Descends! Parker MacMillan IIII is caught in the Tractor Bean! Parker MacMillan IIII is Percolated!","2020-11-18 02:21:54.608893","48c2a517-4630-481a-b683-4bf9a4a9a6e3",-1,4,"f6d3c134-e3ee-40a1-bd4d-095347444129","Parker MacMillan IIII"
