"evt","perceived_at","game_id","season","day","victim_id","victim_name","replacement_id","replacement_name"
"Rogue Umpire incinerated Millennials pitcher Scrap Murphy! Replaced by Felix Garbage","2020-07-29 08:31:00","995f84d2-ee86-4af6-a81a-45c279aba2d7",1,39,"40db1b0b-6d04-4851-adab-dd6320ad2ed9","Scrap Murphy","18af933a-4afa-4cba-bda5-45160f3af99b","Felix Garbage"
"Rogue Umpire incinerated Steaks hitter Lars Mendoza! Replaced by Marco Stink","2020-07-29 22:25:00","653cf39c-0ffb-41ea-be6b-c0dafa7b0ddb",1,51,"76c4853b-7fbc-4688-8cda-c5b8de1724e4","Lars Mendoza","87e6ae4b-67de-4973-aa56-0fc9835a1e1e","Marco Stink"
"Rogue Umpire incinerated Magic hitter Sosa Elftower! Replaced by Halexandrey Walton","2020-07-30 10:12:00","646a3d03-5304-4bfc-a4c0-8076e05077de",1,63,"c86b5add-6c9a-40e0-aa43-e4fd7dd4f2c7","Sosa Elftower","03b80a57-77ea-4913-9be4-7a85c3594745","Halexandrey Walton"
"Rogue Umpire incinerated Magic pitcher Famous Oconnor! Replaced by Cory Twelve","2020-07-30 11:29:00","fef507f9-0573-4849-b463-c99cce6842ce",1,64,"bca38809-81de-42ff-94e3-1c0ebfb1e797","Famous Oconnor","2da49de2-34e5-49d0-b752-af2a2ee061be","Cory Twelve"
"Rogue Umpire incinerated Spies hitter Dickerson Greatness! Replaced by Collins Melon","2020-07-30 11:31:00","fe71e327-6a78-4395-aefb-27cf057e2a15",1,64,"3afb30c1-1b12-466a-968a-5a9a21458c7f","Dickerson Greatness","ef9f8b95-9e73-49cd-be54-60f84858a285","Collins Melon"
"Rogue Umpire incinerated Moist Talkers hitter Trevino Merritt! Replaced by Simon Haley","2020-07-30 18:16:00","bd6d87c3-5b20-4d3a-8492-1d03f0406c51",1,71,"70a458ed-25ca-4ff8-97fc-21cbf58f2c2a","Trevino Merritt","020ed630-8bae-4441-95cc-0e4ecc27253b","Simon Haley"
"Rogue Umpire incinerated Steaks hitter Zi Delacruz! Replaced by Thomas Kirby","2020-07-30 18:19:00","a840778d-2946-4f3a-b10e-ddd54b541d1c",1,71,"c83a13f6-ee66-4b1c-9747-faa67395a6f1","Zi Delacruz","f73009c5-2ede-4dc4-b96d-84ba93c8a429","Thomas Kirby"
"Rogue Umpire incinerated Fridays hitter Jessi Wise! Replaced by York Silk","2020-07-30 20:24:00","63f7e78e-9559-4f81-8db9-98c7a13003d3",1,73,"57448b62-f952-40e2-820c-48d8afe0f64d","Jessi Wise","86d4e22b-f107-4bcf-9625-32d387fcb521","York Silk"
"Rogue Umpire incinerated Flowers hitter Hurley Pacheco! Replaced by Nic Winkler","2020-07-30 22:30:00","0a3500f2-1d5c-4838-a8fb-d1ae136f50ee",1,75,"b86237bb-ade6-4b1d-9199-a3cc354118d9","Hurley Pacheco","855775c1-266f-40f6-b07b-3a67ccdf8551","Nic Winkler"
"Rogue Umpire incinerated Jazz Hands hitter Alexandria Dracaena! Replaced by Hendricks Richardson","2020-07-31 02:12:00","c5fc64df-319d-4120-9ea3-07f0ca36cc37",1,79,"262c49c6-8301-487d-8356-747023fa46a9","Alexandria Dracaena","cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson"
