"evt","perceived_at","game_id","season","day","player_id","player_name"
"King Weatherman is Partying!","2020-09-17 23:08:27.382","459b1854-5681-4d2f-a5f6-3ca27a128a17",6,78,"24f6829e-7bb4-4e1e-8b59-a07514657e72","King Weatherman"
"Gloria Bugsnax is Partying!","2020-09-18 01:23:07.733","c4539bf1-9e66-4d8d-b61c-e8213d7a6cdb",6,80,"8cd06abf-be10-4a35-a3ab-1a408a329147","Gloria Bugsnax"
"Dunn Keyes is Partying!","2020-09-18 03:13:00.717","c12f278d-d9e9-4778-8455-ebb70a48656c",6,82,"ff5a37d9-a6dd-49aa-b6fb-b935fd670820","Dunn Keyes"
"Jacob Haynes is Partying!","2020-09-18 06:03:22.027","98e13e97-6ad6-483f-8031-b94d0666c765",6,85,"51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"Margarito Nava is Partying!","2020-09-18 06:14:26.075","98e13e97-6ad6-483f-8031-b94d0666c765",6,85,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Gloria Bugsnax is Partying!","2020-09-18 06:19:10.158","98e13e97-6ad6-483f-8031-b94d0666c765",6,85,"8cd06abf-be10-4a35-a3ab-1a408a329147","Gloria Bugsnax"
"King Weatherman is Partying!","2020-09-18 06:22:30.884","98e13e97-6ad6-483f-8031-b94d0666c765",6,85,"24f6829e-7bb4-4e1e-8b59-a07514657e72","King Weatherman"
"Rat Mason is Partying!","2020-09-18 10:04:12.46","ca0f3f94-2083-41c4-aa1f-646a64586e7a",6,88,"bf6a24d1-4e89-4790-a4ba-eeb2870cbf6f","Rat Mason"
"Eduardo Woodman is Partying!","2020-09-18 12:01:56.48","945d00a9-daf4-449b-ac72-42ea2bee6c87",6,90,"32810dca-825c-4dbc-8b65-0702794c424e","Eduardo Woodman"
"Peanut Holloway is Partying!","2020-09-18 12:09:28.921","945d00a9-daf4-449b-ac72-42ea2bee6c87",6,90,"667cb445-c288-4e62-b603-27291c1e475d","Peanut Holloway"
"Sexton Wheerer is Partying!","2020-09-18 12:10:00.923","03935601-3fc8-4e0f-8b4a-e28cd85091bf",6,90,"0bb35615-63f2-4492-80ec-b6b322dc5450","Sexton Wheerer"
"Ruslan Greatness is Partying!","2020-09-18 12:19:13.091","945d00a9-daf4-449b-ac72-42ea2bee6c87",6,90,"814bae61-071a-449b-981e-e7afc839d6d6","Ruslan Greatness"
"Juice Collins is Partying!","2020-09-18 13:05:50.524","4c6e04cc-005d-42b9-862a-02de26212f2d",6,91,"21cbbfaa-100e-48c5-9cea-7118b0d08a34","Juice Collins"
"Castillo Turner is Partying!","2020-09-18 13:11:33.974","ef8b5cc6-485b-44da-960c-9389846967c8",6,91,"defbc540-a36d-460b-afd8-07da2375ee63","Castillo Turner"
"Dunn Keyes is Partying!","2020-09-18 13:21:30.068","ef8b5cc6-485b-44da-960c-9389846967c8",6,91,"ff5a37d9-a6dd-49aa-b6fb-b935fd670820","Dunn Keyes"
"Wyatt Pothos is Partying!","2020-09-18 13:25:47.808","ef8b5cc6-485b-44da-960c-9389846967c8",6,91,"ea44bd36-65b4-4f3b-ac71-78d87a540b48","Wyatt Pothos"
"Inez Owens is Partying!","2020-09-18 13:33:21.592","ef8b5cc6-485b-44da-960c-9389846967c8",6,91,"28964497-0efe-420c-9c1d-8574f224a4e9","Inez Owens"
"Nolanestophia Patterson is Partying!","2020-09-18 14:22:10.241","cf4c5889-685b-4239-b902-3f03fc9ac095",6,92,"7e9a514a-7850-4ed0-93ab-f3a6e2f41c03","Nolanestophia Patterson"
"Elvis Figueroa is Partying!","2020-09-18 14:23:10.248","cf4c5889-685b-4239-b902-3f03fc9ac095",6,92,"80dff591-2393-448a-8d88-122bd424fa4c","Elvis Figueroa"
