"evt","id","perceived_at","game_id","event_type","event_index","inning","top_of_inning","outs_before_play","batter_id","batter_team_id","pitcher_id","pitcher_team_id","home_score","away_score","home_strike_count","away_strike_count","batter_count","pitches","total_strikes","total_balls","total_fouls","is_leadoff","is_pinch_hit","lineup_position","is_last_event_for_plate_appearance","bases_hit","runs_batted_in","is_sacrifice_hit","is_sacrifice_fly","outs_on_play","is_double_play","is_triple_play","is_wild_pitch","batted_ball_type","is_bunt","errors_on_play","batter_base_after_play","is_last_game_event","event_text","additional_context","season","day","parsing_error","parsing_error_list","fixed_error","fixed_error_list","home_ball_count","away_ball_count","away_base_count","home_base_count","tournament","game_id-2","day-2","season-2","last_game_event","home_odds","away_odds","weather","series_index","series_length","is_postseason","home_team","away_team","home_score-2","away_score-2","number_of_innings","ended_on_top_of_inning","ended_in_shame","terminology_id","rules_id","statsheet_id","winning_pitcher_id","losing_pitcher_id","tournament-2","outcomes","team_roster_id","team_id","position_id","valid_from","valid_until","player_id","position_type_id","tournament-3","id-2","player_id-2","valid_from-2","valid_until-2","player_name","deceased","hash","anticapitalism","base_thirst","buoyancy","chasiness","coldness","continuation","divinity","ground_friction","indulgence","laserlikeness","martyrdom","moxie","musclitude","omniscience","overpowerment","patheticism","ruthlessness","shakespearianism","suppression","tenaciousness","thwackability","tragicness","unthwackability","watchfulness","pressurization","cinnamon","total_fingers","soul","fate","peanut_allergy","armor","bat","ritual","coffee","blood","url_slug","tournament-4","evolution","batting_rating","pitching_rating","baserunning_rating","defense_rating"
"Steaks hitter Marco Stink swallowed a stray Peanut and had a yummy reaction!",7730,"2020-08-03 22:23:45.256","19927452-de7b-4a81-9bc9-c0ed0ba5aba0","SINGLE",69,7,False,2,"87e6ae4b-67de-4973-aa56-0fc9835a1e1e","b024e975-1c4a-4575-8936-a3754a08806a","db33a54c-3934-478f-bad4-fc313ac2580e","b72f3061-f573-40d7-832a-5ad475bd7909",3,2,3,4,0,"{B,F,X}",1,1,1,False,False,0,True,1,1,False,False,0,False,False,False,"UNKNOWN",False,0,1,False,"{""Marco Stink batting for the Steaks."",""Steaks hitter Marco Stink swallowed a stray Peanut and had a yummy reaction!"",""Ball. 1-0"",""Foul Ball. 1-1"",""Marco Stink hits a Single! 1 scores.""}",NULL,2,3,False,"{}",False,"{}",4,4,4,4,-1,"19927452-de7b-4a81-9bc9-c0ed0ba5aba0",3,2,NULL,0.336997,0.663003,10,1,3,False,"b024e975-1c4a-4575-8936-a3754a08806a","b72f3061-f573-40d7-832a-5ad475bd7909",4,3,8,True,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","aee1a464-e31f-4ec6-a3ae-b9675dc40f78","042962c8-4d8b-44a6-b854-6ccef3d82716","db33a54c-3934-478f-bad4-fc313ac2580e",-1,"{""Steaks hitter Marco Stink swallowed a stray Peanut and had a yummy reaction!""}",36776,"b024e975-1c4a-4575-8936-a3754a08806a",8,"2020-07-29 23:13:26.051","2020-09-24 05:21:21.204","87e6ae4b-67de-4973-aa56-0fc9835a1e1e",0,-1,154290,"87e6ae4b-67de-4973-aa56-0fc9835a1e1e","2020-08-03 05:23:55.538","2020-08-03 23:24:35.411","Marco Stink",False,"9eb98a5a-17e1-cc97-b488-90948e9fc1dd",0.568788610796117,0.888962873744157,0.199762246457814,0.689052808375108,0.972677316184799,0.597592863561908,0.964911565045953,0.467578439859862,0.0594206901708296,0.663599786030836,0.0458380712401092,0.201274758853084,0.707858973045541,0.222794137481155,0.284992803636635,0.764581386208397,0.87061160014871,0.787555965360418,0.086545270352292,0.899041653520758,0.106217617640293,0.1,0.345443908048743,0.77883673846218,0.675307577987094,0.704629595387018,10,6,32,False,"","","",-1,-1,"marco-stink",-1,0,-1.0,-1.0,-1.0,-1.0
"Pies hitter Eduardo Woodman swallowed a stray Peanut and had a yummy reaction!",12009,"2020-08-04 02:11:21.942","6b961626-da54-4dde-9159-cd3d900c1e48","STRIKEOUT",32,3,True,0,"20e13b56-599b-4a22-b752-8059effc81dc","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","b082ca6e-eb11-4eab-8d6a-30f8be522ec4","23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7",3,3,3,3,0,"{B,F,F,F,B,F,C}",3,2,4,False,False,0,True,0,0,False,False,1,False,False,False,NULL,False,0,0,False,"{""Lou Roseheart batting for the Firefighters."",""Ball. 1-0"",""Foul Ball. 1-1"",""Foul Ball. 1-2"",""Pies hitter Eduardo Woodman swallowed a stray Peanut and had a yummy reaction!"",""Foul Ball. 1-2"",""Ball. 2-2"",""Foul Ball. 2-2"",""Lou Roseheart strikes out looking.""}",NULL,2,7,False,"{}",False,"{}",4,4,4,4,-1,"6b961626-da54-4dde-9159-cd3d900c1e48",7,2,NULL,0.58389,0.41611,10,2,3,False,"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",5,6,8,False,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","7d9aec19-41a0-4ef0-a3b9-bb7cf6cb81e4","d46abb00-c546-4952-9218-4f16084e3238","b082ca6e-eb11-4eab-8d6a-30f8be522ec4",-1,"{""Pies hitter Eduardo Woodman swallowed a stray Peanut and had a yummy reaction!""}",36793,"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7",0,"2020-08-03 23:24:34.914","2020-09-25 09:04:14.174","32810dca-825c-4dbc-8b65-0702794c424e",0,-1,154319,"32810dca-825c-4dbc-8b65-0702794c424e","2020-08-04 00:24:39.531","2020-08-04 02:24:43.108","Eduardo Woodman",False,"5ea866b7-346d-ac5b-20d7-7d664bda8e96",0.860497635678624,0.259381526917798,0.43050348005231,0.850445838704603,0.572946784445823,0.77596855403813,0.558658839451779,0.580134333074758,0.449894443638516,0.340066251980097,0.303246256037663,0.302410680767961,0.367450310149859,0.268797353532972,0.808718255399279,0.874843961968194,0.166287000853893,0.913299222836623,0.345746427728704,0.266923447159575,0.753513476639705,0.1,0.191097677519249,0.757323951120304,0.311010514562692,0.250689010146514,10,4,30,False,"","","",-1,-1,"eduardo-woodman",-1,0,-1.0,-1.0,-1.0,-1.0
"Moist Talkers hitter Simon Haley swallowed a stray Peanut and had an allergic reaction!",12245,"2020-08-04 02:12:48.048","69d80fee-e83f-468f-b4ad-9fabb34d208c","OUT",40,5,False,2,"25f3a67c-4ed5-45b6-94b1-ce468d3ead21","eb67ae5e-c4bf-46ca-bbbc-425cd34182ff","3a8c52d7-4124-4a65-a20d-d51abcbe6540","9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",0,0,3,3,0,"{F,B,X}",1,1,1,True,False,0,True,0,0,False,False,1,False,False,False,"GROUNDER",False,0,0,False,"{""Hobbs Cain batting for the Moist Talkers."",""Foul Ball. 0-1"",""Moist Talkers hitter Simon Haley swallowed a stray Peanut and had an allergic reaction!"",""Ball. 1-1"",""Hobbs Cain hit a ground out to Marco Escobar.""}",NULL,2,7,False,"{}",False,"{}",4,4,4,4,-1,"69d80fee-e83f-468f-b4ad-9fabb34d208c",7,2,NULL,0.575146,0.424854,10,2,3,False,"eb67ae5e-c4bf-46ca-bbbc-425cd34182ff","9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",3,1,12,False,True,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","ba039824-50f1-4a0d-ac78-b26c5e180524","a691f2ba-9b69-41f8-892c-1acd42c336e4","3a8c52d7-4124-4a65-a20d-d51abcbe6540",-1,"{""Moist Talkers hitter Simon Haley swallowed a stray Peanut and had an allergic reaction!""}",36781,"eb67ae5e-c4bf-46ca-bbbc-425cd34182ff",3,"2020-07-30 19:14:38.651","2020-09-03 17:34:32.163","020ed630-8bae-4441-95cc-0e4ecc27253b",0,-1,154245,"020ed630-8bae-4441-95cc-0e4ecc27253b","2020-08-03 04:23:53.763","2020-08-04 02:24:43.462","Simon Haley",False,"55251d36-3b35-b1dc-0a38-f44ca287f7b0",0.502316891773389,0.827854727262254,0.998403207925229,0.266735989635678,0.64477550649032,0.575675828758725,0.868784786269595,0.627487374702323,0.979439948337961,0.934368105277332,0.742696981765628,0.532473386501798,0.224493913004657,0.216212957447514,0.547304109196367,0.897675038720503,0.0229387492060644,0.367008208445733,0.828963944816225,0.575824097700712,0.328579559954593,0.1,0.538932204344675,0.424988601816619,0.531280184880911,0.82264894400006,10,6,14,True,"","","",-1,-1,"simon-haley",-1,0,-1.0,-1.0,-1.0,-1.0
"Jazz Hands hitter Hendricks Richardson swallowed a stray Peanut and had an allergic reaction!",12050,"2020-08-04 05:11:32.83","1f77b82c-b4cf-48fe-b79c-f4c1a884d2d2","WALK",32,3,False,1,"678170e4-0688-436d-a02d-c0467f9af8c0","a37f9158-7f82-46bc-908c-c9e2dda7c33b","c6a277c3-d2b5-4363-839b-950896a5ec5e","105bc3ff-1320-4e37-8ef0-8d595cb95dd0",1,1,3,3,0,"{B,B,C,B,F,B}",2,4,1,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Baby Doyle batting for the Jazz Hands."",""Ball. 1-0"",""Ball. 2-0"",""Strike, looking. 2-1"",""Ball. 3-1"",""Jazz Hands hitter Hendricks Richardson swallowed a stray Peanut and had an allergic reaction!"",""Foul Ball. 3-2"",""Baby Doyle draws a walk.""}",NULL,2,10,False,"{}",False,"{}",4,4,4,4,-1,"1f77b82c-b4cf-48fe-b79c-f4c1a884d2d2",10,2,NULL,0.55616,0.44384,10,2,3,False,"a37f9158-7f82-46bc-908c-c9e2dda7c33b","105bc3ff-1320-4e37-8ef0-8d595cb95dd0",4,9,8,False,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","81df5c0f-ab63-45b3-ac55-792e20185e13","c6a277c3-d2b5-4363-839b-950896a5ec5e","b348c037-eefc-4b81-8edd-dfa96188a97e",-1,"{""Jazz Hands hitter Hendricks Richardson swallowed a stray Peanut and had an allergic reaction!""}",36784,"a37f9158-7f82-46bc-908c-c9e2dda7c33b",3,"2020-07-31 02:14:52.332","2020-09-09 11:01:52.769","cf8e152e-2d27-4dcc-ba2b-68127de4e6a4",0,-1,154090,"cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","2020-08-02 21:23:43.84","2020-08-04 05:16:04.416","Hendricks Richardson",False,"f8e2e650-0dfe-ecf4-719e-b55ed365b5ae",0.618976753723757,0.400016593679905,0.241637063712908,0.487321882871684,0.805743863953883,0.203926730613522,0.386674320221189,0.751503373122103,0.75948920391162,0.575070474550427,0.984277731565638,0.567277991421673,0.596418549966393,0.0844678131026084,0.525324499521655,0.243768902590395,0.799067559042708,0.587821817602824,0.651236601384389,0.477136449520788,0.718794503275533,0.1,0.0181141143824888,0.8611420259878,0.593879518441891,0.838787234513235,10,7,67,True,"","","",-1,-1,"hendricks-richardson",-1,0,-1.0,-1.0,-1.0,-1.0
"Breath Mints hitter Rodriguez Internet swallowed a stray Peanut and had an allergic reaction!",13884,"2020-08-04 07:20:32.615","0aa780b4-e79e-4577-90c5-756106d051ed","SINGLE",56,7,True,1,"1f159bab-923a-4811-b6fa-02bfde50925a","878c1bf6-0d21-4659-bfee-916c8314d69c","f2a27a7e-bf04-4d31-86f5-16bfa3addbe7","adc5b394-8f76-416d-9ce9-813706877b84",0,3,4,3,0,"{B,B,X}",0,2,0,False,False,0,True,1,0,False,False,0,False,False,False,"UNKNOWN",False,0,1,False,"{""Wyatt Mason batting for the Tacos."",""Ball. 1-0"",""Breath Mints hitter Rodriguez Internet swallowed a stray Peanut and had an allergic reaction!"",""Ball. 2-0"",""Wyatt Mason hits a Single!""}",NULL,2,12,False,"{}",False,"{}",4,4,4,4,-1,"0aa780b4-e79e-4577-90c5-756106d051ed",12,2,NULL,0.645527,0.354473,10,1,3,False,"adc5b394-8f76-416d-9ce9-813706877b84","878c1bf6-0d21-4659-bfee-916c8314d69c",2,3,8,False,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","3371c212-9fe4-4a9e-aaa9-47e0e9430347","0d5300f6-0966-430f-903f-a4c2338abf00","f2a27a7e-bf04-4d31-86f5-16bfa3addbe7",-1,"{""Breath Mints hitter Rodriguez Internet swallowed a stray Peanut and had an allergic reaction!"",""Breath Mints hitter Grey Alvarado swallowed a stray Peanut and had an allergic reaction!""}",36579,"adc5b394-8f76-416d-9ce9-813706877b84",4,"2020-07-29 08:12:22.438","2020-09-13 19:17:57.703","4b6f0a4e-de18-44ad-b497-03b1f470c43c",0,-1,153935,"4b6f0a4e-de18-44ad-b497-03b1f470c43c","2020-08-02 19:09:05.754","2020-08-04 07:31:26.389","Rodriguez Internet",False,"8ea6d9cf-3fd8-bf09-d3bf-82c56b0a6108",0.761188612920031,0.953251193698101,0.748189331753043,0.376328242186751,0.692710282111671,0.507422904142293,0.65473386343282,0.812992263301989,1.03623059580588,0.463129679303455,0.0413927677890948,0.178072705358642,0.678129214595473,0.22264413698749,0.885863923450508,0.0687998661771312,0.725464929904236,0.817017637163861,0.814752872052168,0.599569928006641,0.201309872189315,0.1,0.384344624296983,0.722322118192239,0.248456901100781,0.276110587184289,10,9,37,True,"","","",-1,-1,"rodriguez-internet",-1,0,-1.0,-1.0,-1.0,-1.0
"Breath Mints hitter Grey Alvarado swallowed a stray Peanut and had an allergic reaction!",14688,"2020-08-04 07:24:24.833","0aa780b4-e79e-4577-90c5-756106d051ed","OUT",69,8,False,0,"b39b5aae-8571-4c90-887a-6a00f2a2f6fd","adc5b394-8f76-416d-9ce9-813706877b84","0d5300f6-0966-430f-903f-a4c2338abf00","878c1bf6-0d21-4659-bfee-916c8314d69c",2,3,4,3,0,"{S,S,S,F,X}",3,0,1,False,False,0,True,0,0,False,False,1,False,False,False,"GROUNDER",False,0,0,False,"{""Dickerson Morse batting for the Breath Mints."",""Strike, swinging. 0-1"",""Strike, swinging. 0-2"",""Strike, swinging. 0-3"",""Foul Ball. 0-3"",""Breath Mints hitter Grey Alvarado swallowed a stray Peanut and had an allergic reaction!"",""Dickerson Morse hit a ground out to Patel Beyonce.""}",NULL,2,12,False,"{}",False,"{}",4,4,4,4,-1,"0aa780b4-e79e-4577-90c5-756106d051ed",12,2,NULL,0.645527,0.354473,10,1,3,False,"adc5b394-8f76-416d-9ce9-813706877b84","878c1bf6-0d21-4659-bfee-916c8314d69c",2,3,8,False,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","3371c212-9fe4-4a9e-aaa9-47e0e9430347","0d5300f6-0966-430f-903f-a4c2338abf00","f2a27a7e-bf04-4d31-86f5-16bfa3addbe7",-1,"{""Breath Mints hitter Rodriguez Internet swallowed a stray Peanut and had an allergic reaction!"",""Breath Mints hitter Grey Alvarado swallowed a stray Peanut and had an allergic reaction!""}",36578,"adc5b394-8f76-416d-9ce9-813706877b84",3,"2020-07-29 08:12:22.438","2020-09-13 19:17:57.703","64f4cd75-0c1e-42cf-9ff0-e41c4756f22a",0,-1,154140,"64f4cd75-0c1e-42cf-9ff0-e41c4756f22a","2020-08-03 02:23:49.247","2020-08-04 07:31:26.389","Grey Alvarado",False,"07700027-54c8-0870-1e6d-066c5cc072ec",0.441982000924622,0.664086897614392,0.482331984535403,0.528691135960341,0.504777813174615,0.40730542942288,0.379153627897075,0.610976436966361,0.564849801890872,0.485547766195532,0.882094954252693,0.0638481190280751,0.0173090049757696,0.519099148516756,0.326228817222949,0.557227840574596,0.571305305223838,0.888395879459019,0.790404068105417,0.538011982617848,0.338705634164877,0.1,0.471752562557983,0.278027688364756,0.956460119529076,0.753653608954596,10,3,91,True,"","","",-1,-1,"grey-alvarado",-1,0,-1.0,-1.0,-1.0,-1.0
"Breath Mints hitter Eduardo Ingram swallowed a stray Peanut and had an allergic reaction!",13150,"2020-08-04 09:08:42.132","6ceae3c2-6de5-49b2-9b7b-3666efad3044","OUT",24,2,True,1,"63df8701-1871-4987-87d7-b55d4f1df2e9","878c1bf6-0d21-4659-bfee-916c8314d69c","7663c3ca-40a1-4f13-a430-14637dce797a","adc5b394-8f76-416d-9ce9-813706877b84",2,1,4,3,0,"{F,B,F,X}",2,1,2,False,False,0,True,0,0,False,False,1,False,False,False,"GROUNDER",False,0,0,False,"{""Mcdowell Sasquatch batting for the Tacos."",""Foul Ball. 0-1"",""Breath Mints hitter Eduardo Ingram swallowed a stray Peanut and had an allergic reaction!"",""Ball. 1-1"",""Foul Ball. 1-2"",""Mcdowell Sasquatch hit a ground out to Grey Alvarado.""}",NULL,2,14,False,"{}",False,"{}",4,4,4,4,-1,"6ceae3c2-6de5-49b2-9b7b-3666efad3044",14,2,NULL,0.433203,0.566797,10,3,3,False,"adc5b394-8f76-416d-9ce9-813706877b84","878c1bf6-0d21-4659-bfee-916c8314d69c",3,4,8,False,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","44cfc768-3806-490a-87cd-4b96109f6256","e16c3f28-eecd-4571-be1a-606bbac36b2b","7663c3ca-40a1-4f13-a430-14637dce797a",-1,"{""Breath Mints hitter Eduardo Ingram swallowed a stray Peanut and had an allergic reaction!""}",36581,"adc5b394-8f76-416d-9ce9-813706877b84",6,"2020-07-29 08:12:22.438","2020-08-26 22:19:32.175","c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec",0,-1,154006,"c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec","2020-08-02 21:23:42.155","2020-08-04 09:16:44.499","Eduardo Ingram",False,"51a8717a-1e18-9acb-3a14-1252f71cacb1",0.112364566858521,0.578355016730259,0.990714284507475,0.108584171821007,0.146335830979755,0.810494936511459,0.229862860179984,0.193433412444638,0.920756888829527,0.875446362749249,0.193731709321926,0.98101065745849,0.974838044707823,0.276588478455549,0.310051283202841,0.756840468658277,0.356022857620046,0.326404008423971,0.0615674820180085,0.35680738405316,0.67381644903439,0.1,0.775657964340094,0.0406038872828336,0.929969061685716,0.808406119816815,10,4,81,True,"","","",-1,-1,"eduardo-ingram",-1,0,-1.0,-1.0,-1.0,-1.0
"Millennials hitter Schneider Bendie swallowed a stray Peanut and had a yummy reaction!",15761,"2020-08-04 09:26:36.475","7c39ba51-ae30-444a-8660-309893863b1d","WALK",76,7,False,0,"b1b141fc-e867-40d1-842a-cea30a97ca4f","36569151-a2fb-43c1-9df7-2df512424c82","5e4dfa16-f1b9-400f-b8ef-a1613c2b026a","bfd38797-8404-4b38-8b82-341da28b1f83",7,6,4,3,0,"{B,B,F,B,A}",2,4,1,False,False,0,True,0,0,False,False,0,False,False,False,NULL,False,0,0,False,"{""Strike, swinging. 0-1"",""Ball. 1-1"",""Ball. 2-1"",""Millennials hitter Schneider Bendie swallowed a stray Peanut and had a yummy reaction!"",""Foul Ball. 2-2"",""Richardson Games draws a walk.""}",NULL,2,14,False,"{}",True,"{""A single update had more than one pitch, but we fixed it""}",4,4,4,4,-1,"7c39ba51-ae30-444a-8660-309893863b1d",14,2,NULL,0.533217,0.466783,10,3,3,False,"36569151-a2fb-43c1-9df7-2df512424c82","bfd38797-8404-4b38-8b82-341da28b1f83",7,6,8,True,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","7f2408d8-2823-4f32-abd3-dc7401daf36f","18af933a-4afa-4cba-bda5-45160f3af99b","5e4dfa16-f1b9-400f-b8ef-a1613c2b026a",-1,"{""Millennials hitter Schneider Bendie swallowed a stray Peanut and had a yummy reaction!""}",36329,"36569151-a2fb-43c1-9df7-2df512424c82",4,"2020-07-29 08:12:22.438","2020-09-01 18:22:59.326","4ffd2e50-bb5b-45d0-b7c4-e24d41b2ff5d",0,-1,154217,"4ffd2e50-bb5b-45d0-b7c4-e24d41b2ff5d","2020-08-03 04:23:53.241","2020-08-04 09:31:47.673","Schneider Bendie",False,"0919d404-ec80-2df3-cb43-beae548aaaad",0.999831870818896,0.218269700934566,0.166359750276985,0.147427206733571,0.523439205364264,0.685295809499689,0.989054650232801,0.95022731297449,0.849245252680007,0.706485350460294,0.645221450909334,0.0371276154122755,0.473072594804186,0.17877868333988,0.713595939936652,0.909823825938604,0.814440593503719,0.308289852784662,0.393930968026194,0.559872323139483,0.2066947808966,0.1,0.675372782544539,0.82010143408435,0.0694277042337028,0.046836549367238,10,4,42,False,"","","",-1,-1,"schneider-bendie",-1,0,-1.0,-1.0,-1.0,-1.0
"Firefighters hitter Edric Tosser swallowed a stray Peanut and had an allergic reaction!",20280,"2020-08-04 14:11:03.115","327a5b88-e597-4b2a-bdbc-8bf6c96438d8","OUT",31,3,False,1,"d23a1f7e-0071-444e-8361-6ae01f13036f","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","2da49de2-34e5-49d0-b752-af2a2ee061be","7966eb04-efcc-499b-8f03-d13916330531",0,2,3,3,0,"{F,B,X}",1,1,1,False,False,0,True,0,0,False,False,1,False,False,False,"FLY",False,0,0,False,"{""Edric Tosser batting for the Firefighters."",""Firefighters hitter Edric Tosser swallowed a stray Peanut and had an allergic reaction!"",""Foul Ball. 0-1"",""Ball. 1-1"",""Edric Tosser hit a flyout to Washer Barajas.""}",NULL,2,19,False,"{}",False,"{}",4,4,4,4,-1,"327a5b88-e597-4b2a-bdbc-8bf6c96438d8",19,2,NULL,0.462924,0.537076,10,2,3,False,"ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","7966eb04-efcc-499b-8f03-d13916330531",7,2,8,True,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","5146978d-32de-4c0b-9d17-2b1cba339fbe","16aff709-e855-47c8-8818-b9ba66e90fe8","2da49de2-34e5-49d0-b752-af2a2ee061be",-1,"{""Firefighters hitter Edric Tosser swallowed a stray Peanut and had an allergic reaction!"",""Firefighters hitter Joshua Butt swallowed a stray Peanut and had an allergic reaction!"",""Firefighters hitter Paula Mason swallowed a stray Peanut and had an allergic reaction!""}",36704,"ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",4,"2020-07-29 08:12:22.438","2020-09-01 21:25:06.888","d23a1f7e-0071-444e-8361-6ae01f13036f",0,-1,153560,"d23a1f7e-0071-444e-8361-6ae01f13036f","2020-08-02 10:22:49.478","2020-08-04 14:17:36.57","Edric Tosser",False,"a86405b0-8a20-547f-7f99-a74014c90d78",0.689110809909183,0.13631197917785,0.758071063780244,0.818980374721469,0.814095982711495,0.0233703486429466,0.00737550878846482,0.240563939590728,0.135439885202091,0.538594652470244,0.566499794981806,0.632984555669482,0.11657437600589,0.364586256809735,0.900524096342879,0.135655193849399,0.543302505258703,0.235084145555962,0.342907127318522,0.941032070039515,0.888380866747057,0.1,0.583598732250206,0.201144173182044,0.535004247545851,0.402708873972015,10,7,90,True,"","","",-1,-1,"edric-tosser",-1,0,-1.0,-1.0,-1.0,-1.0
"Firefighters hitter Joshua Butt swallowed a stray Peanut and had an allergic reaction!",21780,"2020-08-04 14:16:41.297","327a5b88-e597-4b2a-bdbc-8bf6c96438d8","OUT",47,5,True,0,"4e6ad1a1-7c71-49de-8bd5-c286712faf9e","7966eb04-efcc-499b-8f03-d13916330531","16aff709-e855-47c8-8818-b9ba66e90fe8","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",7,2,3,3,0,"{F,X}",1,0,1,False,False,0,True,0,0,False,False,1,False,False,False,"GROUNDER",False,0,0,False,"{""Foul Ball. 0-1"",""Firefighters hitter Joshua Butt swallowed a stray Peanut and had an allergic reaction!"",""Sutton Picklestein hit a ground out to Lou Roseheart.""}",NULL,2,19,False,"{}",False,"{}",4,4,4,4,-1,"327a5b88-e597-4b2a-bdbc-8bf6c96438d8",19,2,NULL,0.462924,0.537076,10,2,3,False,"ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","7966eb04-efcc-499b-8f03-d13916330531",7,2,8,True,False,"b67e9bbb-1495-4e1b-b517-f1444b0a6c8b","4ae9d46a-5408-460a-84fb-cbd8d03fff6c","5146978d-32de-4c0b-9d17-2b1cba339fbe","16aff709-e855-47c8-8818-b9ba66e90fe8","2da49de2-34e5-49d0-b752-af2a2ee061be",-1,"{""Firefighters hitter Edric Tosser swallowed a stray Peanut and had an allergic reaction!"",""Firefighters hitter Joshua Butt swallowed a stray Peanut and had an allergic reaction!"",""Firefighters hitter Paula Mason swallowed a stray Peanut and had an allergic reaction!""}",36702,"ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",2,"2020-07-29 08:12:22.438","2020-09-01 21:25:06.888","69196296-f652-42ff-b2ca-0d9b50bd9b7b",0,-1,154167,"69196296-f652-42ff-b2ca-0d9b50bd9b7b","2020-08-03 02:23:49.449","2020-08-04 14:17:36.57","Joshua Butt",False,"b08ce5b8-6121-5507-701e-4400c054b3b0",0.839845702686192,0.892983304549632,0.805081386011966,0.186469145844444,0.154883200560182,0.728963643900497,0.0162648562470895,0.726329937236588,0.208080436178287,0.258524228203755,0.693608789838446,0.735188783728071,0.152999594440396,0.86814527143408,0.681366513411196,0.808445564451719,0.180401761039194,0.00609485650968145,0.309506491806727,0.87277730881357,0.221910210410892,0.1,0.109620967247836,0.410930195041991,0.569376875410877,0.555355674121249,10,9,5,True,"","","",-1,-1,"joshua-butt",-1,0,-1.0,-1.0,-1.0,-1.0
